timestamp,steering,throttle,L2,L1,C,R1,R2
0.002,0.0,0.0,122.4,153.6,68.2,37.7,28.0
0.059,0.0,0.0,122.3,147.7,44.4,37.6,28.3
0.119,0.0,0.0,121.9,150.1,58.6,37.7,28.2
0.177,0.0,0.0,121.7,153.9,59.8,37.7,28.4
0.237,0.0,0.0,122.4,145.9,57.3,37.4,28.0
0.295,0.0,0.0,121.7,149.9,65.9,37.5,28.1
0.355,0.0,0.0,122.1,148.2,78.0,37.6,28.2
0.414,0.0,0.0,122.2,146.6,59.2,37.8,28.3
0.472,0.0,0.0,121.9,144.9,66.2,37.7,28.6
0.532,0.0,0.9999847412109375,122.0,150.8,67.4,37.5,28.3
0.59,0.0,0.9999847412109375,122.3,150.1,76.0,37.8,28.4
0.649,0.0,0.9999847412109375,122.1,150.1,54.4,37.8,28.4
0.709,0.0,0.9999847412109375,122.4,148.0,58.1,37.6,28.4
0.766,0.0,0.9999847412109375,122.1,151.2,58.7,38.4,28.6
0.827,0.0,0.9999847412109375,121.8,151.2,48.8,38.5,28.8
0.886,0.0,0.9999847412109375,122.3,147.1,67.7,39.3,28.8
0.945,0.0,0.9999847412109375,121.3,149.7,31.0,40.0,29.1
1.004,0.0,0.9999847412109375,121.3,145.1,45.8,40.5,29.5
1.062,0.0,0.9999847412109375,121.4,150.3,48.4,41.1,29.1
1.121,0.0,0.9999847412109375,120.9,146.6,28.5,42.2,29.0
1.183,0.0,0.9999847412109375,120.6,147.2,36.7,43.3,29.4
1.24,0.0,0.9999847412109375,120.4,146.0,31.2,44.1,29.6
1.299,0.0,0.9999847412109375,120.5,142.1,30.2,44.8,30.1
1.357,0.0,0.9999847412109375,120.1,141.3,49.6,46.3,30.9
1.416,0.0,0.9999847412109375,119.9,140.1,54.9,47.4,31.5
1.477,0.0,0.9999847412109375,119.6,142.5,25.5,48.7,31.9
1.533,0.0,0.9999847412109375,118.5,137.8,37.2,48.9,32.9
1.593,0.0,0.9999847412109375,118.6,144.4,7.8,48.6,33.6
